,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
190,8cb92babedb9f4ff7bedee4ac4f47370,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Genus_Azospirillum,Other Proteobacteria
191,8cd7646d4eee2b702e680c9a36aa93ee,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Comamonas,Genus_Comamonas_F_589250,Comamonas
192,8cf45fe9e1251163b5d801841857a873,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Aquabacterium,Genus_Aquabacterium_B_592457,Other Proteobacteria
193,8cf646f2d2ffa7d4a56e9156530deb71,late water,shared,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacterchitinilyticus,Pedobacter
194,8d3565638a5a89a00aa3233b2b027489,both,shared,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacteriumgambrini,Chryseobacterium
195,8d5ecba2cbb96c5e2e01b8b9fced7e06,lost,lost,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Genus_Clostridium_X,Other Firmicutes
196,8db9ec3c6c2da03db22d64f72b6f0c7d,lost,lost,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Genus_Lactiplantibacillus,Other Firmicutes
197,8f09bac714c02dc9415770271349dc99,late water,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Genus_Pseudomonas_E_647464,Pseudomonas
198,90a9d4d5f86538db13546b1af5a3c12d,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ramlibacter,Genus_Ramlibacter_588642,Other Proteobacteria
199,929d9a7f88bd83bc06d889c356d9a13e,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,Family_Enterobacteriaceae_A,Other Proteobacteria
200,9300f96e4700122e2126eeebf4d8caf2,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacterradioresistens,Other Proteobacteria
201,9332245ccb8cd5b773b3edb112f8a70a,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Family_Sphingomonadaceae,Family_Sphingomonadaceae,Other Proteobacteria
202,946b9f1289f8b3f2b52d0547b6175fea,lost,lost,Bacteria,Firmicutes,Clostridia,Acetivibrionales,Order_Acetivibrionales,Order_Acetivibrionales,Order_Acetivibrionales,Other Firmicutes
203,951bd5ee0c2df7f25c6c2959e3c45295,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Family_Sphingomonadaceae,Family_Sphingomonadaceae,Other Proteobacteria
204,971020fc585cf0d12927103e3bda78e8,lost,lost,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_J_366884silvae,Other Firmicutes
205,97dd96b6bd56805492a523b0d748e8b9,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Genus_Pedobacter_887417,Pedobacter
206,985faddfff65bdf62f4c14bbbe3e8ba5,both,shared,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Weizmannia,Weizmanniacoagulans,Other Firmicutes
207,98bc1ec29a4c0f9fbf70d7bfa48a48b6,late water,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Tepidimonas,Tepidimonasfonticaldi,Other Proteobacteria
208,99a24244b8ee4488b1bd89c76fbfc176,lost,lost,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Family_Enterococcaceae,Family_Enterococcaceae,Other Firmicutes
209,9ae8011e9347ce18b60ba481bfb72e32,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Family_Rhodocyclaceae,Family_Rhodocyclaceae,Other Proteobacteria
210,9b3f6c7e4294ef1c697a8eae4208d04f,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,Leucobacter
211,9ba80d636e5561c9a76f1aa0f67b5b4f,lost,lost,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcussanguinis_H,Other Firmicutes
